Name,Assign,Game Status,Platform,Released,Status
Dying light 2,,Completed,,,No Status
Mafia I,,Completed,,,No Status
The forest,,Completed,,,No Status
CyberPunk,,Completed,,,No Status
Marvel Avenger,,Completed,,,No Status
Death Stranding,,Completed,,,No Status
God of war,,Completed,,,No Status
Red Dead redemption 2,,Completed,,,No Status
Xenoblade 3,,To-buy,,,No Status
—— ⭐⭐⭐ ——,,Pending,,,No Status
Elden Ring,,Pending,,,No Status
Tales of arise,,To-buy,,,No Status
Code vein,,To-buy,,,No Status
Powerwash,,To-buy,,,No Status
Stray,,To-buy,,,No Status
Bear and breakfast,,To-buy,,,No Status
Immortals: Fenyx Rising,,To-buy,,,No Status
Sekiro,,To-buy,,,No Status
對馬,,To-buy,,,No Status
Guardian of the Galaxy,,To-buy,,,No Status
Minecraft Dungeon,,To-buy,,,No Status
Gotham Knight,,To-buy,,Coming soon,No Status
Star Field,,To-buy,,Coming soon,No Status
Red fall,,To-buy,,Coming soon,No Status
Forspoken,,To-buy,,Coming soon,No Status
Hogwarts Legacy,,To-buy,,Coming soon,No Status
Evil West,,To-buy,,Coming soon,No Status
Skull and bones,,To-buy,,Coming soon,No Status
Division - heartland,,To-buy,,,No Status
SYNDUALITY,,To-buy,,,No Status
Atelier,,To-buy,,,No Status
Rise of the Ronin,,To-buy,,,No Status
Hades,,Pending,,,No Status
Breathedge,,Pending,,,No Status
Starwar - jedi,,Pending,,,No Status
DMC 5,,Pending,,,No Status
Spiderman,,Pending,,,No Status
Batman series,,Pending,,,No Status
FF7,,Pending,,,No Status
Mafia Series,,Pending,,,No Status
—— ⭐⭐ ——,,Pending,,,No Status
Shadow of mordor series,,Pending,,,No Status
Subterrain,,Pending,,,No Status
Assassin creed series,,Pending,,,No Status
Borderland series,,Pending,,,No Status
Grim Dawn,,Pending,,,No Status
Zelda,,Pending,,,No Status
Far Cry series,,Pending,,,No Status
Lego Series,,Pending,,,No Status
Watch dog 2,,Pending,,,No Status
Dragon Age series,,Pending,,,No Status
Nier:automata,,Pending,,,No Status
仁王 series,,Pending,,,No Status
Fallout Series,,Pending,,,No Status
Divinity Series,,Pending,,,No Status
Magicka series,,Pending,,,No Status
—— ⭐ ——,,Pending,,,No Status
"Back 4 blood ",,Pending,,,No Status
Skyrim,,Pending,,,No Status
Outer world,,Give up,,,No Status
MHR,,Playing,,,No Status
——- Never end ——-,,Playing,,,No Status
Deep Rock,,Playing,,,No Status
Guild wars 2,,Playing,,,No Status
Fallout 76,,Playing,,,No Status
No man sky,,Playing,,,No Status
Elite dangerous,,Playing,,,No Status
Destiny 2,,Playing,,,No Status
Sea of thieves,,Playing,,,No Status
Division 2,,Playing,,,No Status
Ancestor,,Give up,,,No Status
Factorio,,Give up,,,No Status
Risk of Rains 2,,Give up,,,No Status
SubNautica,,Give up,,,No Status
Astroneer,,Give up,,,No Status
Prison Architect,,Give up,,,No Status
Edge of space,,Give up,,,No Status
The incredible adventure of Van Helsing series,,Give up,,,No Status
Witcher series,,Give up,,,No Status
Days Gone,,Give up,,,No Status